"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"V1",1,0.352405812088643,0.262420489988807,0.275356901886241,0.23838685312636,0.281568539566545,0.174490907174619,0.176266706590696,0.255943356640212,0.126240295161525,0.114955499572967,0.234132636289063,0.223196733838925,0.209105604179757,0.181642161355041,0.216699524986138,0.236840841819276
"V2",0.352405812088643,1,0.343574850844866,0.362014150766115,0.253108775039422,0.314003925557082,0.163569055318518,0.176939167251559,0.205850982850917,0.0862442420185469,0.102231147503388,0.214474515104224,0.189958989946507,0.188629497057103,0.158451878877791,0.199011245582466,0.21255467629766
"V3",0.262420489988807,0.343574850844866,1,0.443189313246221,0.361006907767616,0.317177771872546,0.171550330631371,0.222121852391371,0.299366740098138,0.111899309297189,0.125507481124913,0.260244466102758,0.256787890339965,0.248133751516771,0.195874363250464,0.254334980030145,0.254862958542403
"V4",0.275356901886241,0.362014150766115,0.443189313246221,1,0.45382502307222,0.408722315162412,0.233431098213682,0.256544091873711,0.33544079985699,0.14877950235441,0.182514293674376,0.337246504498569,0.344489311227202,0.326186264486944,0.211656647131816,0.304444652015598,0.345905494396533
"V5",0.23838685312636,0.253108775039422,0.361006907767616,0.45382502307222,1,0.319534962566769,0.167833843784106,0.21478834843838,0.348486424887737,0.15234080716674,0.219987786126665,0.240365903694333,0.296793746625648,0.251182322131279,0.211721751168118,0.301637188396923,0.268324956430109
"V6",0.281568539566545,0.314003925557082,0.317177771872546,0.408722315162412,0.319534962566769,1,0.178906739301481,0.200862249016304,0.305201799650471,0.150656447306472,0.177741206615911,0.33046810761089,0.317574528799289,0.300239474169557,0.222764925957765,0.314775920927401,0.299448416038067
"V7",0.174490907174619,0.163569055318518,0.171550330631371,0.233431098213682,0.167833843784106,0.178906739301481,1,0.219817212298527,0.192356590278306,0.0985102687715881,0.0698657986475957,0.214593465552075,0.204718595107437,0.204784094313706,0.149448605479824,0.1852278482636,0.216341254453265
"V8",0.176266706590696,0.176939167251559,0.222121852391371,0.256544091873711,0.21478834843838,0.200862249016304,0.219817212298527,1,0.22038475423421,0.158732690801933,0.0787127486525274,0.272208011841861,0.261044507874142,0.241001894502992,0.163083439551243,0.210503314702453,0.293843196843735
"V9",0.255943356640212,0.205850982850917,0.299366740098138,0.33544079985699,0.348486424887737,0.305201799650471,0.192356590278306,0.22038475423421,1,0.209921316115963,0.222644403781189,0.246735289493635,0.337942194389606,0.296081490924225,0.252124108386326,0.350094652932271,0.279973511768328
"V10",0.126240295161525,0.0862442420185469,0.111899309297189,0.14877950235441,0.15234080716674,0.150656447306472,0.0985102687715881,0.158732690801933,0.209921316115963,1,0.231627044681059,0.14506083589504,0.194426187108152,0.152545236944894,0.11029639091818,0.153782984871144,0.136055144450271
"V11",0.114955499572967,0.102231147503388,0.125507481124913,0.182514293674376,0.219987786126665,0.177741206615911,0.0698657986475957,0.0787127486525274,0.222644403781189,0.231627044681059,1,0.148477950183733,0.185177357657738,0.151652401039971,0.129179076631935,0.143366980070888,0.13797156815203
"V12",0.234132636289063,0.214474515104224,0.260244466102758,0.337246504498569,0.240365903694333,0.33046810761089,0.214593465552075,0.272208011841861,0.246735289493635,0.14506083589504,0.148477950183733,1,0.368304092110374,0.376937295192938,0.223547427522586,0.289504476115706,0.398641335773023
"V13",0.223196733838925,0.189958989946507,0.256787890339965,0.344489311227202,0.296793746625648,0.317574528799289,0.204718595107437,0.261044507874142,0.337942194389606,0.194426187108152,0.185177357657738,0.368304092110374,1,0.725189476740315,0.230166435623764,0.324481894811406,0.375497279168711
"V14",0.209105604179757,0.188629497057103,0.248133751516771,0.326186264486944,0.251182322131279,0.300239474169557,0.204784094313706,0.241001894502992,0.296081490924225,0.152545236944894,0.151652401039971,0.376937295192938,0.725189476740315,1,0.211630890630437,0.282509045645224,0.347586436012764
"V15",0.181642161355041,0.158451878877791,0.195874363250464,0.211656647131816,0.211721751168118,0.222764925957765,0.149448605479824,0.163083439551243,0.252124108386326,0.11029639091818,0.129179076631935,0.223547427522586,0.230166435623764,0.211630890630437,1,0.259198243291887,0.208330529657025
"V16",0.216699524986138,0.199011245582466,0.254334980030145,0.304444652015598,0.301637188396923,0.314775920927401,0.1852278482636,0.210503314702453,0.350094652932271,0.153782984871144,0.143366980070888,0.289504476115706,0.324481894811406,0.282509045645224,0.259198243291887,1,0.276691296258267
"V17",0.236840841819276,0.21255467629766,0.254862958542403,0.345905494396533,0.268324956430109,0.299448416038067,0.216341254453265,0.293843196843735,0.279973511768328,0.136055144450271,0.13797156815203,0.398641335773023,0.375497279168711,0.347586436012764,0.208330529657025,0.276691296258267,1
