"","Rama_act","1","2"
"1","Alimentos",0.0954676952748312,0.0789022298456261
"2","Productos textiles",0.0583413693346191,0.0428816466552316
"3","Confecciones",0.053519768563163,0.0154373927958834
"4","Cuero",0.0448408871745419,0.0222984562607204
"5","Madera",0.0433944069431051,0.0154373927958834
"6","Papel",0.0424300867888139,0.0283018867924528
"7","Edición",0.0458052073288332,0.0180102915951973
"8","Productos químicos",0.0337512054001929,0.0797598627787307
"9","Productos de caucho y plástico",0.0419479267116683,0.0711835334476844
"10","Otros minerales no metálicos",0.0429122468659595,0.0274442538593482
"11","Metales comunes",0.0327868852459016,0.032590051457976
"12","Otros productos de metal",0.0612343297974928,0.065180102915952
"13","Maquinaria y equipo",0.0327868852459016,0.0385934819897084
"14","Instrumentos médicos",0.0159112825458052,0.0300171526586621
"15","Otros equipo de transporte",0.0183220829315333,0.0154373927958834
"16","Muebles",0.0458052073288332,0.0205831903945112
"17","Maquina herramienta en general",0.0347155255544841,0.0360205831903945
"18","Frigoríficos",0.0554484088717454,0.0343053173241852
"19","Productos lácteos",0.0356798457087753,0.0274442538593482
"20","Vinos y otras bebidas fermentadas",0.0245901639344262,0.0291595197255575
"21","Farmaceuticas",0.0159112825458052,0.0746140651801029
"22","Maquinaria Agropecuaria y Forestal",0.0241080038572806,0.0128644939965695
"23","Aparatos de uso doméstico",0.0216972034715526,0.0214408233276158
"24","Material eléctrico, radio, televisión",0.032304725168756,0.0480274442538593
"25","Carrocerías,  remolques y semirremolques",0.00578592092574735,0.0197255574614065
"26","Autopartes",0.0294117647058824,0.0531732418524871
"27","otras",0.0110896817743491,0.0411663807890223
